
9876|jai sharma       |director   |production |03/12/50|130000
5678|sumit chakrobarty|d.g.m      |marketing  |04/19/43| 95000
2365|barun sengupta   |director   |personnel  |05/11/47|120000
1006|chanchal singhvi |cirector   |sales      |09/03/38|140000
6213|karuna ganguly   |g.m.       |accounts   |06/05/62|105000 
4290|jayant Choudhury |executive  |production |09/07/50| 65000 
2476|anil aggarwal    |manager    |sales      |05/01/59|110000
3212|shyam saksena    |d.g.m      |accounts   |12/12/55| 85000
3564|sudhir Agarwal   |executive  |personnel  |07/06/47| 75000
1111|j.b. saxena      |g.m.       |marketing  |03/12/45|110000
1111|v.k agrawal      |g.m.       |marketing  |12/31/40| 95000
1111|a.k. shukla      |g.m.       |ales       |12/12/52| 90000
9876|jai sharma       |director   |production |03/12/50|130000
5678|sumit chakrobarty|d.g.m      |marketing  |04/19/43| 75000
2365|barun sengupta   |director   |personnel  |05/11/47|120000
1111|n.k. gupta       |chairman   |admin      |08/30/56|160000
1006|chanchal singhvi |director   |sales      |09/03/38|120000
6213|karuna ganguly   |g.m.       |accounts   |06/05/62|105000 
1111|s.n. dasgupta    |manager    |sales      |09/12/63| 90000
1111|S.n. dasgupta    |nanager    |sales      |09/12/63| 50000
1111|S.n. dasgupta    |damager    |sales      |09/12/63| 85000
4290|jayant Choudhury |executive  |production |09/07/50| 65000 
2476|anil aggarwal    |manager    |sales      |05/01/59|110000
6521|lalit chowdury   |director   |marketing  |09/26/45|125000
3212|shyam saksena    |d.g.m      |accounts   |12/12/55| 85000
3564|sudhir Agarwal   |executive  |personnel  |07/06/47| 75000
2345|j.b. saxena      |g.m.       |marketing  |03/12/45|110000
1111|v.k agrawal      |g.m.       |marketing  |12/31/40| 95000
